title,date,MH_url,epar_url,variation_url,Product Name,INN,Initial Approval,Cancer,Orphan,Therapy class,Therapy Area,Marketing authorisation holder,Full Indication,New indication HTML,New indication PDF,Removed indication HTML,CHMP Opinion Date,Decision date,EMA date for extension,Search Result in NICE,NICE_url
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/evlarco,https://www.ema.europa.eu/en/medicines/human/variation/evlarco,evlarco,obicetrapib / ezetimibe,Initial approval,No,No,C10,Cardiovascular,A. Menarini International Licensing S.A.,"Evlarco: Evlarco is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet: in combination with a statin in patients unable to reach low-density lipoprotein cholesterol (LDL-C) goals with the maximum tolerated dose of a statin in addition to ezetimibe or, alone in patients who are either statin-intolerant or for whom a statin is contraindicated and are unable to reach LDL-C goals with ezetimibe alone or, in patients already being treated with the combination of obicetrapib and ezetimibe as separate tablets with or without statin.",N/A,N/A,N/A,23 July 2026,,N/A,Yes,https://www.nice.org.uk/search?q=obicetrapib / ezetimibe
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/icotyde,https://www.ema.europa.eu/en/medicines/human/variation/icotyde,icotyde,icotrokinra hydrochloride,Initial approval,No,No,Not assigned yet,N/A,Janssen-Cilag International N.V.,"Icotyde: Icotyde is indicated for the treatment of moderate to severe plaque psoriasis in adults, and adolescents 12 years of age and older and weighing at least 40 kg, who are candidates for systemic therapy.",N/A,N/A,N/A,23 July 2026,,N/A,N/A,https://www.nice.org.uk/search?q=icotrokinra hydrochloride
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/lynavoy,https://www.ema.europa.eu/en/medicines/human/variation/lynavoy,lynavoy,linerixibat,Initial approval,No,Yes,A05,Alimentary,Glaxosmithkline Trading Services Limited,Lynavoy: Lynavoy is indicated for the treatment of cholestatic pruritus in adult patients with primary biliary cholangitis (PBC).,N/A,N/A,N/A,23 July 2026,,N/A,Yes,https://www.nice.org.uk/search?q=linerixibat
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/lyrokaul,https://www.ema.europa.eu/en/medicines/human/variation/lyrokaul,lyrokaul,lerodalcibep,Initial approval,No,No,C10,Cardiovascular,LIB Therapeutics B.V.,"Lyrokaul: Lyrokaul is indicated in adults with primary hypercholesterolaemia (heterozygous familial (HeFH) and non-familial) or mixed dyslipidaemia as an adjunct to diet: in combination with a statin or statin with other lipid-lowering therapies in patients unable to reach low-density lipoprotein cholesterol (LDL-C) goals with the maximum tolerated dose of a statin, or alone or in combination with other lipid-lowering therapies in patients who are statin intolerant or for whom a statin is contraindicated.",N/A,N/A,N/A,23 July 2026,,N/A,N/A,https://www.nice.org.uk/search?q=lerodalcibep
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/nezglyal,https://www.ema.europa.eu/en/medicines/human/variation/nezglyal,nezglyal,leriglitazone,Initial approval,No,Yes,A16,Alimentary,Minoryx Therapeutics S.L.,"Nezglyal: Nezglyal is indicated for the treatment of Cerebral Adrenoleukodystrophy (cALD) in males with Adrenoleukodystrophy (ALD) aged 2 to 12 years with non-Gadolinium (Gd) enhancing lesions (i.e. Gd negative) in brain Magnetic Resonance Imaging (MRI), with a Neurological Functional Score (NFS) of 0 or 1.",N/A,N/A,N/A,23 July 2026,,N/A,Yes,https://www.nice.org.uk/search?q=leriglitazone
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/susvimo,https://www.ema.europa.eu/en/medicines/human/variation/susvimo,susvimo,ranibizumab,Initial approval,No,No,S01,Sense organs,Roche Registration GmbH,Susvimo: Susvimo is indicated in adult patients for the treatment of neovascular (wet) age‑related macular degeneration (nAMD) who have achieved stable disease after previously responding to intravitreal treatment with a vascular endothelial growth factor (VEGF) inhibitor medicinal product.,N/A,N/A,N/A,23 July 2026,,N/A,Yes,https://www.nice.org.uk/search?q=ranibizumab
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/ubeslo,https://www.ema.europa.eu/en/medicines/human/variation/ubeslo,ubeslo,obicetrapib,Initial approval,No,No,C10,Cardiovascular,A. Menarini International Licensing S.A.,"Ubeslo: Ubeslo is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non‑familial) or mixed dyslipidaemia, as an adjunct to diet: in combination with a statin or statin with other lipid‑lowering therapies in patients unable to reach low‑density lipoprotein cholesterol (LDL‑C) goals with the maximum tolerated dose of a statin or, alone or in combination with other lipid-lowering therapies in patients who are statin‑intolerant, or for whom a statin is contraindicated.",N/A,N/A,N/A,23 July 2026,,N/A,Yes,https://www.nice.org.uk/search?q=obicetrapib
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/zokovea,https://www.ema.europa.eu/en/medicines/human/variation/zokovea,zokovea,ensitrelvir,Initial approval,No,No,J05,Infectives,Shionogi B.V.,Zokovea: Zokovea is indicated for the post‑exposure prophylaxis of COVID‑19 in adults and adolescents aged 12 years and older. Zokovea should be used in accordance with official recommendations.,N/A,N/A,N/A,23 July 2026,,N/A,Yes,https://www.nice.org.uk/search?q=ensitrelvir
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/enhertu,https://www.ema.europa.eu/en/medicines/human/variation/enhertu,enhertu,trastuzumab deruxtecan,Extension,Yes,No,L01,Cancer,Daiichi Sankyo Europe GmbH,"Enhertu: Enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received one or more prior anti-HER2-based regimens. It is also indicated for HER2-low and HER2-ultralow breast cancer, advanced non-small cell lung cancer (NSCLC) with an activating HER2 mutation, advanced HER2-positive gastric or gastroesophageal junction adenocarcinoma, and other unresectable or metastatic HER2-positive solid tumours who have received prior treatment and have no satisfactory treatment options.","Enhertu: Enhertu in combination with pertuzumab is indicated for the first-line treatment of adult patients with unresectable or metastatic HER2-positive breast cancer (for biomarker-based patient selection, see section 4.2).","Enhertu: Extension of indication to include treatment of adult patients with unresectable or metastatic HER2-positive (IHC3+) solid tumours who have received prior treatment and who have no satisfactory alternative treatment options for Enhertu, based on results from study D967VC00001 (DESTINY-PanTumor02); 21/05/2026.",I don't know.,23 July 2026,25/06/2026,25/06/2026,Yes,https://www.nice.org.uk/search?q=trastuzumab deruxtecan
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/jivi,https://www.ema.europa.eu/en/medicines/human/variation/jivi,jivi,damoctocog alfa pegol,Extension,No,No,B02,Blood,Bayer AG,Jivi: Treatment and prophylaxis of bleeding in previously treated patients (PTPs) ≥ 7 years of age with haemophilia A (congenital factor VIII deficiency).,Jivi: This page was last updated on,Jivi: I don't know.,Jivi: previously treated,23 July 2026,12/08/2025,N/A,N/A,https://www.nice.org.uk/search?q=damoctocog alfa pegol
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/piqray,https://www.ema.europa.eu/en/medicines/human/variation/piqray,piqray,alpelisib,Extension,Yes,No,L01,Cancer,Novartis Europharm Limited,"Piqray: Piqray is indicated in combination with fulvestrant for the treatment of postmenopausal women, and men, with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, locally advanced or metastatic breast cancer with a PIK3CA mutation after disease progression following endocrine therapy as monotherapy.","Piqray: an, -based regimen, and for biomarker based patient-selection see section 4.2",Piqray: I don't know.,Piqray: therapy as monotherapy,23 July 2026,02/10/2025,N/A,Yes,https://www.nice.org.uk/search?q=alpelisib
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/repatha,https://www.ema.europa.eu/en/medicines/human/variation/repatha,repatha,evolocumab,Extension,No,No,C10,Cardiovascular,Amgen Europe B.V.,"Repatha: Repatha is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet: in combination with a statin or statin with other lipid lowering therapies in patients unable to reach LDL-C goals with the maximum tolerated dose of a statin or, alone or in combination with other lipid-lowering therapies in patients who are statin-intolerant, or for whom a statin is contraindicated. Repatha is indicated in adults and adolescents aged 12 years and over with homozygous familial hypercholesterolaemia in combination with other lipid-lowering therapies. Repatha is indicated in adults with established atherosclerotic cardiovascular disease (myocardial infarction, stroke or peripheral arterial disease) to reduce cardiovascular risk by lowering LDL-C levels, as an adjunct to correction of other risk factors: in combination with the maximum tolerated dose of a statin with or without other lipid-lowering therapies or, alone or in combination with other lipid-lowering therapies in patients who are statin-intolerant, or for whom a statin is contraindicated.",N/A,"Repatha: Extension of indication for Repatha to include adults at high risk for a first cardiovascular event, based on the final results from study 20170625 (VESALIUS).",N/A,23 July 2026,21/08/2026,21/08/2026,Yes,https://www.nice.org.uk/search?q=evolocumab
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/rinvoq,https://www.ema.europa.eu/en/medicines/human/variation/rinvoq-1,rinvoq,upadacitinib,Extension,No,No,L04,Immuo-mod,Abbvie Deutschland GmbH & Co. KG.,"Rinvoq: Rinvoq is indicated for the treatment of moderate to severe active rheumatoid arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more disease-modifying anti-rheumatic drugs (DMARDs). Rinvoq may be used as monotherapy or in combination with methotrexate. It is also indicated for the treatment of active psoriatic arthritis, active non-radiographic axial spondyloarthritis, active ankylosing spondylitis, giant cell arteritis, moderate to severe atopic dermatitis, severe alopecia areata, non-segmental vitiligo, moderately to severely active ulcerative colitis, and moderately to severely active Crohn’s disease.","Rinvoq: Polyarticular juvenile idiopathic arthritis, Rinvoq is indicated for the treatment of active polyarticular juvenile idiopathic arthritis (polyarticular rheumatoid factor positive [RF+] or negative [RF-], extended oligoarticular), in patients 2 years of age and older who have responded inadequately to, or who are intolerant to one or more DMARDs. RINVOQ may be used as monotherapy or in combination with methotrexate.",RINVOQ: Extension of indication to include the treatment of non-segmental vitiligo in adults and adolescents 12 years and older who are candidates for systemic therapy.,I don't know.,23 July 2026,24/07/2026,24/07/2026,Yes,https://www.nice.org.uk/search?q=upadacitinib
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 20-23 July 2026,24 July 2026,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-20-23-july-2026,https://www.ema.europa.eu/en/medicines/human/EPAR/riltrava-aerosphere,https://www.ema.europa.eu/en/medicines/human/variation/riltrava-aerosphere,riltrava-aerosphere,formoterol / glycopyrronium bromide / budesonide,Extension,No,No,R03,Respiratory,AstraZeneca AB,Riltrava Aerosphere: Riltrava Aerosphere is indicated as a maintenance treatment in adult patients with moderate to severe chronic obstructive pulmonary disease (COPD) who are not adequately treated by a combination of an inhaled corticosteroid and a long-acting beta2 agonist or combination of a long-acting beta2 agonist and a long-acting muscarinic antagonist (for effects on symptoms control and prevention of exacerbations see section 5.1).,Riltrava Aerosphere: Riltrava Aerosphere is indicated as a maintenance treatment of asthma in patients 12 years of age and older who are not adequately controlled by a combination of a medium dose inhaled corticosteroid and a long-acting beta2-agonist.,Riltrava Aerosphere: I don't know.,I don't know.,23 July 2026,30/09/2025,N/A,N/A,https://www.nice.org.uk/search?q=formoterol / glycopyrronium bromide / budesonide
